"dataset_notice","client_id","full_name","date_of_birth","home_address","phone_number","email_address","government_id_passport","government_id_tax","job_title","employer_name","annual_income_inr","source_of_money","credit_score","credit_history","other_assets_inr","outstanding_loans_inr","account_balance_inr","deposit_withdrawal_history","transfer_history","card_purchase_locations","payees_merchants","ip_address","device_type","mobile_app_usage_habits","last_login_datetime","app_location_data"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0001","Aarav Demo 1","1949-01-04","101 Example Lane, Demo Nagar, Test State 000000","+91-00000-00001","client0001@example.invalid","SYN-PPT-000001","SYN-TAX-000001","Accounts Executive","Example Retail Ltd","377300","Synthetic salary income","617","Synthetic: limited repayment history","61903","2309","16927","2026-01-04 Deposit: Synthetic salary INR 31442; 2026-01-14 Withdrawal: Synthetic ATM INR 537","2026-01-04 Sent INR 583 to B002 - Utility Account (Synthetic); 2026-01-09 Received INR 1029 from Synthetic sender","Demo Grocers, Demo Sector 1; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.1","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-06 09:07:00 IST","SIMULATED: Demo Zone 1, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0002","Diya Example 2","1950-02-07","102 Example Lane, Demo Nagar, Test State 000000","+91-00000-00002","client0002@example.invalid","SYN-PPT-000002","SYN-TAX-000002","Teacher","Demo Health Services","394600","Synthetic salary income","624","Synthetic: limited repayment history","73806","4618","21854","2026-02-07 Deposit: Synthetic salary INR 32883; 2026-02-17 Withdrawal: Synthetic ATM INR 574","2026-02-07 Sent INR 666 to B003 - Merchant Settlement (Synthetic); 2026-02-12 Received INR 1058 from Synthetic sender","Sample Pharmacy, Demo Sector 2; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.2","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-11 10:14:00 IST","SIMULATED: Demo Zone 2, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0003","Kabir Sandbox 3","1951-03-10","103 Example Lane, Demo Nagar, Test State 000000","+91-00000-00003","client0003@example.invalid","SYN-PPT-000003","SYN-TAX-000003","Store Manager","Sample Manufacturing","411900","Synthetic salary income","631","Synthetic: limited repayment history","85709","6927","26781","2026-03-10 Deposit: Synthetic salary INR 34325; 2026-03-20 Withdrawal: Synthetic ATM INR 611","2026-03-10 Sent INR 749 to B001 - Family Transfer (Synthetic); 2026-03-15 Received INR 1087 from Synthetic sender","Example Fuel Station, Demo Sector 3; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.3","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-16 11:21:00 IST","SIMULATED: Demo Zone 3, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0004","Meera Fictional 4","1952-04-13","104 Example Lane, Demo Nagar, Test State 000000","+91-00000-00004","client0004@example.invalid","SYN-PPT-000004","SYN-TAX-000004","Nurse","Test Education Trust","429200","Synthetic business income","638","Synthetic: limited repayment history","97612","9236","31708","2026-04-13 Deposit: Synthetic salary INR 35767; 2026-04-23 Withdrawal: Synthetic ATM INR 648","2026-04-13 Sent INR 832 to B002 - Utility Account (Synthetic); 2026-04-18 Received INR 1116 from Synthetic sender","Test Cafe, Demo Sector 4; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.4","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-21 12:28:00 IST","SIMULATED: Demo Zone 4, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0005","Arjun Test 5","1953-05-16","105 Example Lane, Demo Nagar, Test State 000000","+91-00000-00005","client0005@example.invalid","SYN-PPT-000005","SYN-TAX-000005","Software Analyst","Sandbox Logistics","446500","Synthetic salary income","645","Synthetic: limited repayment history","109515","11545","36635","2026-05-16 Deposit: Synthetic salary INR 37208; 2026-05-26 Withdrawal: Synthetic ATM INR 685","2026-05-16 Sent INR 915 to B003 - Merchant Settlement (Synthetic); 2026-05-21 Received INR 1145 from Synthetic sender","Mock Electronics, Demo Sector 5; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.5","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-26 13:35:00 IST","SIMULATED: Demo Zone 5, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0006","Anaya Prototype 6","1954-06-19","106 Example Lane, Demo Nagar, Test State 000000","+91-00000-00006","client0006@example.invalid","SYN-PPT-000006","SYN-TAX-000006","Sales Associate","Prototype Systems","463800","Synthetic salary income","652","Synthetic: limited repayment history","121418","13854","41562","2026-06-19 Deposit: Synthetic salary INR 38650; 2026-06-02 Withdrawal: Synthetic ATM INR 722","2026-06-19 Sent INR 998 to B001 - Family Transfer (Synthetic); 2026-06-24 Received INR 1174 from Synthetic sender","Sandbox Market, Demo Sector 6; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.6","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-03 14:42:00 IST","SIMULATED: Demo Zone 6, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0007","Vihaan Simulated 7","1955-07-22","107 Example Lane, Demo Nagar, Test State 000000","+91-00000-00007","client0007@example.invalid","SYN-PPT-000007","SYN-TAX-000007","Operations Lead","Example Foods","481100","Synthetic salary income","659","Synthetic: limited repayment history","133321","16163","46489","2026-07-22 Deposit: Synthetic salary INR 40092; 2026-07-05 Withdrawal: Synthetic ATM INR 759","2026-07-22 Sent INR 1081 to B002 - Utility Account (Synthetic); 2026-07-27 Received INR 1203 from Synthetic sender","Demo Grocers, Demo Sector 7; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.7","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-08 15:49:00 IST","SIMULATED: Demo Zone 7, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0008","Isha Sample 8","1956-08-25","108 Example Lane, Demo Nagar, Test State 000000","+91-00000-00008","client0008@example.invalid","SYN-PPT-000008","SYN-TAX-000008","Self-employed Consultant","Mock Finance Services","498400","Synthetic business income","666","Synthetic: limited repayment history","145224","18472","51416","2026-08-25 Deposit: Synthetic salary INR 41533; 2026-08-08 Withdrawal: Synthetic ATM INR 796","2026-08-25 Sent INR 1164 to B003 - Merchant Settlement (Synthetic); 2026-08-03 Received INR 1232 from Synthetic sender","Sample Pharmacy, Demo Sector 8; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.8","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-13 16:56:00 IST","SIMULATED: Demo Zone 8, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0009","Rohan Mock 9","1957-09-01","109 Example Lane, Demo Nagar, Test State 000000","+91-00000-00009","client0009@example.invalid","SYN-PPT-000009","SYN-TAX-000009","Accounts Executive","Example Retail Ltd","515700","Synthetic salary income","673","Synthetic: limited repayment history","157127","20781","56343","2026-09-01 Deposit: Synthetic salary INR 42975; 2026-09-11 Withdrawal: Synthetic ATM INR 833","2026-09-01 Sent INR 1247 to B001 - Family Transfer (Synthetic); 2026-09-06 Received INR 1261 from Synthetic sender","Example Fuel Station, Demo Sector 9; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.9","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-18 17:03:00 IST","SIMULATED: Demo Zone 9, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0010","Kavya Training 10","1958-10-04","110 Example Lane, Demo Nagar, Test State 000000","+91-00000-00010","client0010@example.invalid","SYN-PPT-000010","SYN-TAX-000010","Teacher","Demo Health Services","533000","Synthetic salary income","680","Synthetic: satisfactory repayment pattern","169030","23090","61270","2026-10-04 Deposit: Synthetic salary INR 44417; 2026-10-14 Withdrawal: Synthetic ATM INR 870","2026-10-04 Sent INR 1330 to B002 - Utility Account (Synthetic); 2026-10-09 Received INR 1290 from Synthetic sender","Test Cafe, Demo Sector 10; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.10","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-23 18:10:00 IST","SIMULATED: Demo Zone 10, Example City, Test State"
