"dataset_notice","customer_id","full_name","phone_number","bank_name","account_number","upi_id","profile_image_url","balance","upi_pin","age_group","digital_literacy","average_tx_amount","normal_hours","known_beneficiaries"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C101","Ramaswamy Iyer","+91 98000 00101","Apex Global Bank","XXXX-XXXX-4800","ramaswamy72@apexbank","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c101","INR 1,48,500.00","000000","Senior Citizen (72 yrs)","Basic","INR 1,850.00","08:00-20:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C102","Aarav Test 102","+91 98001 00102","Apex Global Bank","XXXX-XXXX-4801","aaravtest102@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c102","INR 13,437.00","0017","46-60","Advanced","INR 573.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C103","Diya Prototype 103","+91 98002 00103","Apex Global Bank","XXXX-XXXX-4802","diyaprototype103@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c103","INR 14,374.00","000346","61-75","Moderate","INR 646.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C104","Kabir Fictional 104","+91 98003 00104","Apex Global Bank","XXXX-XXXX-4803","kabirfictional104@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c104","INR 15,311.00","0051","18-30","Basic","INR 719.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C105","Meera Sample 105","+91 98004 00105","Apex Global Bank","XXXX-XXXX-4804","meerasample105@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c105","INR 16,248.00","000692","31-45","Advanced","INR 792.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C106","Arjun Mock 106","+91 98005 00106","Apex Global Bank","XXXX-XXXX-4805","arjunmock106@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c106","INR 17,185.00","0085","46-60","Moderate","INR 865.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C107","Anaya Training 107","+91 98006 00107","Apex Global Bank","XXXX-XXXX-4806","anayatraining107@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c107","INR 18,122.00","001038","61-75","Basic","INR 938.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C108","Vihaan Demo 108","+91 98007 00108","Apex Global Bank","XXXX-XXXX-4807","vihaandemo108@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c108","INR 19,059.00","0119","18-30","Advanced","INR 1,011.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C109","Isha Example 109","+91 98008 00109","Apex Global Bank","XXXX-XXXX-4808","ishaexample109@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c109","INR 19,996.00","001384","31-45","Moderate","INR 1,084.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C110","Rohan Sandbox 110","+91 98009 00110","Apex Global Bank","XXXX-XXXX-4809","rohansandbox110@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c110","INR 20,933.00","0153","46-60","Basic","INR 1,157.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C111","Kavya Iyer 111","+91 98010 00111","Apex Global Bank","XXXX-XXXX-4810","kavyaiyer111@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c111","INR 21,870.00","001730","61-75","Advanced","INR 1,230.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C112","Dev Test 112","+91 98011 00112","Apex Global Bank","XXXX-XXXX-4811","devtest112@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c112","INR 22,807.00","0187","18-30","Moderate","INR 1,303.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C113","Tara Prototype 113","+91 98012 00113","Apex Global Bank","XXXX-XXXX-4812","taraprototype113@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c113","INR 23,744.00","002076","31-45","Basic","INR 1,376.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C114","Ishaan Fictional 114","+91 98013 00114","Apex Global Bank","XXXX-XXXX-4813","ishaanfictional114@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c114","INR 24,681.00","0221","46-60","Advanced","INR 1,449.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C115","Naina Sample 115","+91 98014 00115","Apex Global Bank","XXXX-XXXX-4814","nainasample115@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c115","INR 25,618.00","002422","61-75","Moderate","INR 1,522.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C116","Reyansh Mock 116","+91 98015 00116","Apex Global Bank","XXXX-XXXX-4815","reyanshmock116@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c116","INR 26,555.00","0255","18-30","Basic","INR 1,595.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C117","Aditi Training 117","+91 98016 00117","Apex Global Bank","XXXX-XXXX-4816","adititraining117@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c117","INR 27,492.00","002768","31-45","Advanced","INR 1,668.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C118","Neil Demo 118","+91 98017 00118","Apex Global Bank","XXXX-XXXX-4817","neildemo118@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c118","INR 28,429.00","0289","46-60","Moderate","INR 1,741.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C119","Mira Example 119","+91 98018 00119","Apex Global Bank","XXXX-XXXX-4818","miraexample119@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c119","INR 29,366.00","003114","61-75","Basic","INR 1,814.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C120","Yash Sandbox 120","+91 98019 00120","Apex Global Bank","XXXX-XXXX-4819","yashsandbox120@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c120","INR 30,303.00","0323","18-30","Advanced","INR 1,887.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C121","Saanvi Iyer 121","+91 98020 00121","Apex Global Bank","XXXX-XXXX-4820","saanviiyer121@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c121","INR 31,240.00","003460","31-45","Moderate","INR 1,960.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C122","Advik Test 122","+91 98021 00122","Apex Global Bank","XXXX-XXXX-4821","adviktest122@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c122","INR 32,177.00","0357","46-60","Basic","INR 2,033.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C123","Riya Prototype 123","+91 98022 00123","Apex Global Bank","XXXX-XXXX-4822","riyaprototype123@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c123","INR 33,114.00","003806","61-75","Advanced","INR 2,106.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C124","Karan Fictional 124","+91 98023 00124","Apex Global Bank","XXXX-XXXX-4823","karanfictional124@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c124","INR 34,051.00","0391","18-30","Moderate","INR 2,179.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C125","Pooja Sample 125","+91 98024 00125","Apex Global Bank","XXXX-XXXX-4824","poojasample125@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c125","INR 34,988.00","004152","31-45","Basic","INR 2,252.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C126","Ramaswamy Mock 126","+91 98025 00126","Apex Global Bank","XXXX-XXXX-4825","ramaswamymock126@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c126","INR 35,925.00","0425","46-60","Advanced","INR 2,325.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C127","Aarav Training 127","+91 98026 00127","Apex Global Bank","XXXX-XXXX-4826","aaravtraining127@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c127","INR 36,862.00","004498","61-75","Moderate","INR 2,398.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C128","Diya Demo 128","+91 98027 00128","Apex Global Bank","XXXX-XXXX-4827","diyademo128@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c128","INR 37,799.00","0459","18-30","Basic","INR 2,471.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C129","Kabir Example 129","+91 98028 00129","Apex Global Bank","XXXX-XXXX-4828","kabirexample129@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c129","INR 38,736.00","004844","31-45","Advanced","INR 2,544.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C130","Meera Sandbox 130","+91 98029 00130","Apex Global Bank","XXXX-XXXX-4829","meerasandbox130@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c130","INR 39,673.00","0493","46-60","Moderate","INR 2,617.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C131","Arjun Iyer 131","+91 98030 00131","Apex Global Bank","XXXX-XXXX-4830","arjuniyer131@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c131","INR 40,610.00","005190","61-75","Basic","INR 2,690.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C132","Anaya Test 132","+91 98031 00132","Apex Global Bank","XXXX-XXXX-4831","anayatest132@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c132","INR 41,547.00","0527","18-30","Advanced","INR 2,763.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C133","Vihaan Prototype 133","+91 98032 00133","Apex Global Bank","XXXX-XXXX-4832","vihaanprototype133@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c133","INR 42,484.00","005536","31-45","Moderate","INR 2,836.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C134","Isha Fictional 134","+91 98033 00134","Apex Global Bank","XXXX-XXXX-4833","ishafictional134@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c134","INR 43,421.00","0561","46-60","Basic","INR 2,909.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C135","Rohan Sample 135","+91 98034 00135","Apex Global Bank","XXXX-XXXX-4834","rohansample135@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c135","INR 44,358.00","005882","61-75","Advanced","INR 2,982.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C136","Kavya Mock 136","+91 98035 00136","Apex Global Bank","XXXX-XXXX-4835","kavyamock136@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c136","INR 45,295.00","0595","18-30","Moderate","INR 3,055.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
